Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,18-09-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,BLZ,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.993307334,0.890162687,0.817435115,1.321847133,0.992842713,1.217720709,1.13198493,1.061159345,1.12096925,1.557448552,1.340592281,1.116209266,1.753366318,0.999238998,0.671462237,0.572481599,0.466453317,0.780612897,0.677121149,0.660934076,0.761968037,0.72187098,0.63901383,0.585191138,0.52783167,0.64319951,0.544170729,0.526245259,0.439001617,0.37509073,0.274282497,0.273193393,0.283094787,0.274621352,0.243378906,0.585668319,3.000790715,3.808790288,4.89726895,3.240783949,5.352566035,6.720704901,3.980247207,2.80431279,1.968279836,0.82158112,
Bermuda,BMU,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bolivia,BOL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.579475355,0.940124515,0.992997161,3.5477623,9.161490234,4.810423529,4.537650933,5.485842347,5.084509951,8.668429112,11.03988319,5.08488602,3.52376897,4.768472939,3.415321472,3.308950341,2.132386713,2.974128985,4.828095303,6.941599616,7.127146883,2.850196362,2.917504882,2.623771667,2.621904501,2.798291754,3.28771867,3.005276453,1.513300899,1.946220194,3.61321409,3.49908677,3.905009523,4.882872133,7.547057055,12.28500696,16.24261883,16.43322131,15.15955532,7.795566614,9.612905301,14.24227237,13.31837692,12.45395844,12.8772474,7.923375075,
Brazil,BRA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.555237304,1.297108939,1.294722266,1.373474964,1.732370399,1.957219733,1.839401817,1.698599617,1.617228605,2.246739789,2.728574296,2.314231131,2.517705686,3.140193185,2.958357096,2.805753696,1.73301013,1.985656334,1.704175338,1.769710438,2.161108597,1.398803123,2.108312577,1.851666803,1.351395964,1.185451457,1.195227738,1.13401892,1.135823981,1.894741951,2.45233534,2.473392026,3.129568497,3.474020562,3.698823015,4.751259667,4.889715313,5.616740352,6.075338759,3.070937783,4.45122322,5.029562215,4.620503436,4.486124299,4.039397925,2.909391303,
Barbados,BRB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.652397711,1.229652726,0.346046417,0.443616113,0.757588937,0.69936245,0.216488227,0.25846082,0.15777631,0.214506252,0.36326601,0.185456133,0.234753893,0.212117608,0.178369022,0.204726982,0.202749922,0.161906697,0.102611073,0.225647645,0.343780711,0.208600248,0.176296852,0.203976397,0.257637348,0.360166812,0.393873949,0.408735655,0.538988597,0.18840791,0.353703338,0.548287489,0.37512038,0.247177685,0.162812908,0.050798227,
Brunei Darussalam,BRN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.381259363,7.388009167,15.24841568,26.24459651,51.77668619,48.34369012,49.81229953,48.95292252,46.56847763,89.03990756,54.5341796,34.5249556,18.64036782,29.26401925,29.95289121,33.88836815,25.90087304,27.42906865,20.31110958,24.85980989,32.01088372,19.49568451,19.40542938,18.62264722,17.57043999,15.79663295,16.53057546,14.13767836,8.422259066,14.68889165,25.98240723,20.95495623,21.35046101,22.76426402,24.70673792,32.22822376,32.16410775,27.81635666,32.42277621,20.65799656,22.76697262,25.43004613,24.35847211,19.67126583,16.80740539,8.544493731,
Bhutan,BTN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,13.66950941,11.12631515,16.40951751,10.09349384,8.172370792,5.605451561,8.045733264,5.899147285,5.517182609,5.530399064,6.008737373,7.278950947,7.604287928,6.257499482,5.118899364,5.861937326,5.585481748,4.114428004,4.032618063,4.077510836,3.856308151,3.747067001,3.467278019,3.248267325,2.882963265,2.583077659,3.31170198,4.194184717,4.084520092,3.440675112,5.15305951,4.790532599,4.127543523,3.380777154,3.302299764,5.521599795,
Botswana,BWA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,3.154046679,2.114959527,1.861244387,2.419302738,4.626105612,4.185357356,7.451128988,6.108759989,2.732667292,4.053069235,4.330626539,3.15230036,3.506288706,2.312681882,1.653150883,1.895779642,1.495899673,1.150754547,7.259001418,5.577440854,2.056706872,1.506169299,1.047643095,0.704404877,0.996958171,1.325143678,0.970095088,0.87131271,0.664578633,0.419015134,1.444648282,0.575085961,0.547710438,1.619680911,3.315372715,3.822965408,7.987185287,9.272270708,6.04197889,11.45390835,4.936467271,3.568519217,3.628865429,3.68405825,3.579604803,2.711594729,
Central African Republic,CAF,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,8.234246307,8.066811155,9.009108752,12.1458882,11.37106037,10.46012264,8.597198398,11.35295028,10.55839326,9.386257099,10.09204687,9.87265779,11.34467195,9.207414164,9.018252264,5.482903984,5.98443619,5.428546957,5.530500174,6.129003073,6.36218334,6.128829623,6.870883609,6.48664889,11.72370709,12.39411118,11.98777275,13.1765942,13.51490443,9.600908351,11.19657477,10.76869253,11.30473731,11.74748198,8.200600048,8.424438462,10.01612694,9.906454271,11.81264672,9.184143426,8.56965502,9.348915172,10.53950919,14.35490304,11.81687785,15.40632154,
Canada,CAN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.129210495,1.840689393,1.867251081,3.142461353,5.824392968,4.639574941,4.180382977,4.422899541,4.020476677,8.481518895,9.012910161,5.942044635,3.659550612,4.343417508,4.572953094,4.587064546,2.264139541,2.990157043,3.07150133,3.016641989,3.13002,2.329744443,2.593747175,2.813980127,2.611667271,2.629507725,3.43281264,2.845743399,1.760674642,2.475188562,4.541936023,4.006504833,2.999576227,3.402384164,4.86281664,5.002711542,4.824849815,4.505417197,5.800672826,2.349772271,2.760854427,3.202467201,2.407405422,2.548365651,2.494675454,0.887725962,
Central Europe and the Baltics,CEB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.803969935,1.947750989,2.055640009,1.502305762,1.300775616,1.672587421,0.829614206,3.213582366,4.337655276,4.34070052,3.045706992,2.227808211,1.721742108,1.394427176,1.09566545,1.095579942,1.020311108,0.914402236,0.533282011,0.612713699,0.957263804,1.06570346,0.7623404,0.751055084,1.165571015,1.101551279,1.29521237,1.091916526,1.575234516,0.938635412,1.166964121,1.442306241,1.223225358,0.946178352,0.834889093,0.691273142,
Switzerland,CHE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.060289687,0.054592945,0.047273064,0.0390051,0.043783393,0.041103346,0.038357196,0.030918203,0.029394659,0.034099583,0.039887714,0.021757856,0.021373841,0.02121609,0.020188932,0.019971479,0.018994855,0.020059776,0.018111832,0.017481334,0.034881785,0.020599253,0.017962103,0.01847555,0.014139662,0.014661057,0.016882898,0.018822643,0.016469748,0.015119432,0.015428661,0.012896825,0.01147469,0.012094691,0.013507663,0.009499695,
Channel Islands,CHI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
