code,iso,country,EPI.current,HLT.current,AIR.current,H2O.current,HMT.current,ECO.current,BDH.current,FRT.current,FSH.current,CCE.current,APE.current,WRS.current,AGR.current,HAD.current,PME.current,PMW.current,USD.current,UWD.current,PBD.current,MPA.current,TBN.current,TBG.current,SPI.current,PAR.current,SHI.current,TCL.current,FSS.current,MTR.current,DCT.current,DPT.current,DMT.current,DNT.current,DBT.current,DST.current,DXT.current,WWT.current,SNM.current
262,DJI,Djibouti,40.04,52.89,69.73,19.3,35.47,31.47,28.88,,47.92,46.4,11.01,0,25.79,25.18,100,98.85,19.52,19.08,35.47,70.18,7.85,7.85,7.71,10.83,90.76,,74.62,21.22,43.69,,60.06,54.26,21.92,11.65,10.36,0,25.79
212,DMA,Dominica,59.38,69.45,80.39,50.64,40.18,52.67,79.21,54.93,51.06,51.78,31.59,35.78,0,50.97,100,100,51.03,50.25,40.18,58.92,81.31,86.99,,100,,54.93,58.27,43.84,51.23,,50.22,63.77,53.59,39.35,23.82,35.78,0
214,DOM,Dominican Republic,64.71,64.86,77.96,42.4,29.34,64.61,87.06,10.42,74.5,61.27,65.46,90.17,8.11,44.9,100,100,45.1,39.7,29.34,97.28,82.81,97.55,96.45,58.36,64.08,10.42,95.65,53.35,67.64,42.08,62.15,66.09,65.89,66.52,64.39,90.17,8.11
218,ECU,Ecuador,57.42,72.58,82.97,52.2,59.87,47.31,84.08,28.22,62.01,46.8,25.92,0,12.76,57.48,100,99.93,50.12,54.28,59.87,100,91.16,72.01,85.38,69.78,73.93,28.22,68.98,55.04,36.32,46.63,70.96,58.1,44.23,30.44,21.4,0,12.76
818,EGY,Egypt,61.21,68.61,88.88,32.78,20.03,56.28,62.39,44.95,37.92,55.68,47.55,86.32,46.15,82.79,94.35,91.55,31.46,34.09,20.03,91.36,72.34,44.06,48.05,15.3,96.97,44.95,69.88,5.96,51.56,45.92,67.94,68.16,74.33,34.97,60.13,86.32,46.15
222,SLV,El Salvador,53.91,63.99,76.15,42.34,35.85,47.19,69.06,23.99,0,63.47,28.11,50.5,12.5,40.51,100,99.81,40.27,44.4,35.85,80.59,63.45,55.72,83.09,40.95,83.94,23.99,0,0,68.81,60.04,62.53,55.33,35.75,23.42,32.79,50.5,12.5
226,GNQ,Equatorial Guinea,60.4,49.66,57.18,31.89,58.55,67.55,87.76,20.76,64.46,70.08,99.97,52.51,16.38,18.98,78.41,86.88,32.7,31.09,58.55,72.18,100,100,99.48,52.49,81.81,20.76,84.87,44.06,65.62,,72.01,99.09,95.85,99.94,100,52.51,16.38
232,ERI,Eritrea,39.34,46.12,64.88,7.09,36.46,34.81,27.52,,94.09,29.57,43.47,0,36.51,12.8,100,99.2,6.92,7.26,36.46,0,28.6,28.07,24.54,15.49,97.27,,88.19,100,46.26,0.89,23.12,7.91,24.86,40.88,46.06,0,36.51
233,EST,Estonia,64.31,73.24,78.87,58.45,88.82,58.35,92.39,4.56,76.04,33.62,54.29,96.42,40.75,47.2,100,99.97,57.61,59.29,88.82,100,100,100,100,46.02,77.87,4.56,98.57,53.52,27.24,33.22,45.84,35.02,48.67,48.27,60.31,96.42,40.75
231,ETH,Ethiopia,44.78,32.8,43.66,9.35,32.22,52.77,78.99,29.39,,64.18,37.81,0,35.52,7.57,63.4,72.04,8.68,10.02,32.22,,86.18,80.7,82.14,38.41,95.45,29.39,,,72.7,100,33.48,18.05,4.53,47.28,28.34,0,35.52
242,FJI,Fiji,53.09,61.7,70.36,39.93,79.74,47.35,46.45,29.72,64.97,56.91,17.73,64.8,18.78,25.89,100,100,42.29,37.57,79.74,82.67,25.84,26.53,48.66,8.63,88.48,29.72,73.33,56.6,58.66,,56.49,52.94,37.98,20.81,14.65,64.8,18.78
246,FIN,Finland,78.64,99.35,99,100,100,64.83,89.25,5.98,61.11,62.33,49.1,97.01,49.97,97.5,100,100,100,100,100,100,100,100,96.13,39.23,61.05,5.98,95.02,27.2,53.97,60.17,91.26,44.58,56.55,51.88,46.32,97.01,49.97
250,FRA,France,83.95,95.71,95.97,97.22,83.29,76.11,96.25,25.08,57.71,70.46,96.82,95.56,67.77,99.26,95.46,92.1,95.77,98.66,83.29,100,100,100,99.97,74.05,88.48,25.08,78.37,37.05,57.58,92.56,83.95,51.05,76.37,95.62,98.01,95.56,67.77
266,GAB,Gabon,45.05,43.04,51.5,22.23,57.99,46.39,86.17,38.22,58.15,30.71,53.75,0,12.36,34.07,60.59,65.66,21.64,22.81,57.99,81.34,89.66,93.93,95.1,45.18,96.51,38.22,48.05,68.25,22.47,21.68,59.97,44.81,18.04,39.12,68.39,0,12.36
270,GMB,Gambia,42.42,47.99,63.14,16.8,38.15,38.72,43.12,,49.94,36.67,41.36,26.32,26.02,7.84,100,100,16.34,17.27,38.15,59.81,23.57,31.64,33.43,44.32,90,,74.62,25.26,45.83,,6.07,40.63,26.81,50.52,32.21,26.32,26.02
268,GEO,Georgia,55.69,57.1,54.93,59.93,68.28,54.75,62.33,86.2,27.36,48.41,48.55,81.51,5.7,22.1,73.81,79.83,56.8,63.06,68.28,80.97,48.17,47.17,66.51,42.37,95.3,86.2,54.73,0,28.36,72.7,67.42,52.67,71.41,33.38,63.72,81.51,5.7
276,DEU,Germany,78.37,88.68,84.09,96.74,100,71.5,96.92,34.99,47.71,55.47,93.3,99.65,61.21,85.03,81.8,85.12,95.36,98.11,100,100,100,100,100,83.28,85.91,34.99,36.89,58.54,41.41,37.27,99.38,57.9,90.9,88.16,98.44,99.65,61.21
288,GHA,Ghana,49.66,44.42,52.37,26.52,48.46,53.15,77.96,0,55.19,57.59,40.5,53.73,28.76,10.23,79.03,81.89,26.05,26.99,48.46,67.12,78.96,82.74,90.27,57.2,84.24,0,57.06,53.33,54.11,46.09,79.52,72.55,35.71,43.33,37.67,53.73,28.76
300,GRC,Greece,73.6,91.03,89.23,100,60.77,61.98,90.89,33.42,63.74,42.17,46.41,97.72,49.5,88.17,90.77,89.09,100,100,60.77,86.03,100,100,100,47.3,89.54,33.42,46.53,80.95,41.93,44.22,46.9,0.19,59.46,50.32,42.5,97.72,49.5
308,GRD,Grenada,50.93,69.82,82.88,48.26,29.37,38.34,56.78,36.44,44.76,21.61,30.55,64.44,0.76,57.2,100,100,48.77,47.74,29.37,61.02,52.9,35.2,,99.19,,36.44,58.27,31.25,15.3,,27.03,86.54,23.42,35.16,25.94,64.44,0.76
320,GTM,Guatemala,52.33,54.97,68.3,29.5,34.42,50.57,65.13,0.77,59.62,57.46,30.23,72.59,14.55,21.57,100,98.92,28.21,30.78,34.42,81.95,79.52,50.5,74.37,78.61,0,0.77,80.07,39.18,55.55,60.89,64.25,54.25,39.01,31.57,28.9,72.59,14.55
324,GIN,Guinea,46.62,45.02,60.77,12.79,33.56,47.69,83.29,0,58.92,37.24,31.6,51.13,30.5,2.16,100,99.68,12.69,12.89,33.56,78.98,99.71,93.64,89.32,26.74,82.88,0,96.2,21.63,48.89,,12.16,9.95,1.75,39.66,23.55,51.13,30.5
624,GNB,Guinea-Bissau,44.67,43.6,60.5,10.01,25.37,45.38,85.77,0,36.45,53.23,32.8,0,20.94,1.26,100,100,9.61,10.42,25.37,99.03,96.64,99.62,78.01,42.17,68.93,0,39.85,33.04,66.94,,23.41,11.95,21.9,38.82,26.78,0,20.94
328,GUY,Guyana,47.93,61.55,75.49,38.67,17.58,38.86,54.32,48.62,52.86,34.82,32.14,0,29.4,38.71,100,100,40.6,36.74,17.58,33.89,50.45,51.06,39.01,100,94.39,48.62,61.32,44.4,31.63,,37.25,43.99,60.54,32.86,31.42,0,29.4
