package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
fansi,1.0.2,1.0.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fansi,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fansi,FALSE,FALSE,2022-01-14,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
farver,2.1.0,2.1.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/farver,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/farver,FALSE,FALSE,2021-02-28,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
fastmap,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fastmap,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fastmap,FALSE,FALSE,2021-01-25,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
fields,13.3,13.3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fields,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fields,FALSE,FALSE,2021-10-30,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
flashClust,1.1.2,1.01-2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/flashClust,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/flashClust,FALSE,FALSE,2012-08-21,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
forcats,0.5.1,0.5.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/forcats,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/forcats,TRUE,FALSE,2021-01-27,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
foreach,1.5.2,1.5.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/foreach,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/foreach,FALSE,FALSE,2022-02-02,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
foreign,0.8.81,0.8-81,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/foreign,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/foreign,FALSE,FALSE,2020-12-22,CRAN (R 4.1.2),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
fs,1.5.2,1.5.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fs,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/fs,FALSE,FALSE,2021-12-08,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
future,1.23.0,1.23.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/future,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/future,FALSE,FALSE,2021-10-31,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
future.apply,1.8.1,1.8.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/future.apply,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/future.apply,FALSE,FALSE,2021-08-10,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
gdata,2.18.0,2.18.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/gdata,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/gdata,TRUE,FALSE,2017-06-06,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
generics,0.1.2,0.1.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/generics,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/generics,FALSE,FALSE,2022-01-31,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggplot2,3.3.5,3.3.5,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggplot2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggplot2,TRUE,FALSE,2021-06-25,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggpmisc,0.4.5,0.4.5,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpmisc,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpmisc,TRUE,FALSE,2021-12-11,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggpp,0.4.3,0.4.3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpp,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpp,TRUE,FALSE,2021-12-17,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggpubr,0.4.0,0.4.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpubr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggpubr,FALSE,FALSE,2020-06-27,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggrepel,0.9.1,0.9.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggrepel,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggrepel,FALSE,FALSE,2021-01-15,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ggsignif,0.6.3,0.6.3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggsignif,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ggsignif,FALSE,FALSE,2021-09-09,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
globals,0.14.0,0.14.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/globals,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/globals,FALSE,FALSE,2020-11-22,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
glue,1.6.1,1.6.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/glue,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/glue,FALSE,FALSE,2022-01-22,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
gower,1.0.0,1.0.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/gower,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/gower,FALSE,FALSE,2022-02-03,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
