"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"PER","Peru",0.98,,0.932,,1.7987,,,,,,,,5.2518,,2.2556,2.191,,2.667,2.2121,2.0824,2.0661,3.4809,2.213,2.4398,
"PHL","Philippines",,1.23,1.24,,,5.535,5.5182,5.3782,5.4622,5.3466,5.5041,5.6409,5.8977,6.3779,6.9102,4.6065,,,,,0.24,,5.8748,4.9351,
"POL","Poland",8.4627,8.5892,8.6429,8.4961,7.9693,7.6941,7.6575,7.6829,7.6844,7.7528,7.7357,7.7797,7.8957,7.8884,7.9652,7.9987,8.0389,9.0197,8.0891,8.1188,8.1054,8.1721,8.0817,6.8926,
"PRT","Portugal",2.9118,2.9878,3.0301,3.0889,3.1149,3.2026,3.2618,7.3242,7.554,7.7931,8.0824,8.3986,8.763,9.0928,9.4685,9.8677,10.2182,10.4495,10.6769,10.9244,11.2811,11.6012,12.0986,,
"QAT","Qatar",,1.26,1.26,,,,7.153,,,,8.1234,8.3094,,9.0749,7.6869,9.4457,,,,7.3349,,9.0868,8e-04,9.748,
"ROU","Romania",1.768,1.81,1.791,1.8388,1.909,7.3247,7.4377,7.7429,7.4461,7.8556,7.9739,8.1704,8.319,8.3659,8.5683,8.1917,8.324,8.5254,8.7593,,,8.3487,10.3698,,
"RUS","Russian Federation",2.305,2.3372,2.3448,2.3702,2.3739,2.3225,2.2958,2.3193,2.3163,2.3099,10.0529,10.2283,10.2334,10.0765,10.12,10.064,15.776,8.2746,8.3256,8.5447,12.7157,12.5573,8.5429,,
"RWA","Rwanda",,,,,,,,0.019,,0.462,0.472,,,0.74,0.7336,0.733,0.6709,,0.1021,1.0217,1.1011,1.301,1.26,1.3384,
"KNA","Saint Kitts and Nevis",6.8408,7.1059,6.7832,6.8287,7.11,5.809,7.6906,,,,,,,,,,,,,,6.8946,,,,
"LCA","Saint Lucia",0.56,,0.473,,2.1355,,3.1641,0.4391,3.5514,2.738,2.5031,,0.185,0.1588,0.1045,1.6485,1.8063,2.1392,2.4394,4.2513,,,3.7956,,
